stoxxId,name,owner,totalPatents,technologyName,technologyCode,totalPatentsInTechnology,worldClassPatentsInTechnology,specialisation,environment,environmentWorldClass
462219,EconsightMetaverse,,81,3D Image Modelling,IC5.3.1.,1,1,0.0123,3,1
462219,EconsightMetaverse,,81,Avatar,IC5.2.1.,1,1,0.0123,3,1
462219,EconsightMetaverse,,81,"VR & AR, XR, Meta",IC5.2.10.,3,1,0.037,3,1
621503,EconsightMetaverse,,6,Avatar,IC5.2.1.,2,0,0.3333,2,0
568905,EconsightMetaverse,,530,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0019,9,1
568905,EconsightMetaverse,,530,3D Image Modelling,IC5.3.1.,7,1,0.0132,9,1
568905,EconsightMetaverse,,530,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0038,9,1
B281L7,EconsightMetaverse,,19,Blockchain,7S.1.2.,2,0,0.1053,2,0
BE10G6,EconsightMetaverse,,240,Blockchain,7S.1.2.,1,0,0.0042,1,0
CA12F4,EconsightMetaverse,,123,Avatar,IC5.2.1.,1,0,0.0081,1,0
CA12F4,EconsightMetaverse,,123,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0081,1,0
CA12F4,EconsightMetaverse,,123,3D Image Modelling,IC5.3.1.,1,0,0.0081,1,0
CA60SK,EconsightMetaverse,,21,3D Image Modelling,IC5.3.1.,1,0,0.0476,1,0
CH9013,EconsightMetaverse,,1738,3D Image Modelling,IC5.3.1.,1,1,0.0006,3,3
CH9013,EconsightMetaverse,,1738,Avatar,IC5.2.1.,1,1,0.0006,3,3
CH9013,EconsightMetaverse,,1738,"VR & AR, XR, Meta",IC5.2.10.,1,1,0.0006,3,3
CH9013,EconsightMetaverse,,1738,Blockchain,7S.1.2.,1,1,0.0006,3,3
474574,EconsightMetaverse,,6721,Digital Twin,IC5.3.14.,1,1,0.0001,25,14
474574,EconsightMetaverse,,6721,3D Image Modelling,IC5.3.1.,4,1,0.0006,25,14
474574,EconsightMetaverse,,6721,Avatar,IC5.2.1.,2,0,0.0003,25,14
474574,EconsightMetaverse,,6721,"VR & AR, XR, Meta",IC5.2.10.,21,11,0.0031,25,14
474574,EconsightMetaverse,,6721,Blockchain,7S.1.2.,1,1,0.0001,25,14
400702,EconsightMetaverse,,26,3D Image Modelling,IC5.3.1.,3,0,0.1154,3,0
400702,EconsightMetaverse,,26,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0385,3,0
476634,EconsightMetaverse,,3727,Blockchain,7S.1.2.,5,0,0.0013,8,0
476634,EconsightMetaverse,,3727,3D Image Modelling,IC5.3.1.,1,0,0.0003,8,0
476634,EconsightMetaverse,,3727,Digital Twin,IC5.3.14.,2,0,0.0005,8,0
477884,EconsightMetaverse,,1224,Blockchain,7S.1.2.,1,1,0.0008,25,8
477884,EconsightMetaverse,,1224,3D Image Modelling,IC5.3.1.,3,1,0.0025,25,8
477884,EconsightMetaverse,,1224,Avatar,IC5.2.1.,4,1,0.0033,25,8
477884,EconsightMetaverse,,1224,Digital Twin,IC5.3.14.,21,6,0.0172,25,8
733750,EconsightMetaverse,,1224,Blockchain,7S.1.2.,1,1,0.0008,25,8
733750,EconsightMetaverse,,1224,Digital Twin,IC5.3.14.,21,6,0.0172,25,8
733750,EconsightMetaverse,,1224,3D Image Modelling,IC5.3.1.,3,1,0.0025,25,8
733750,EconsightMetaverse,,1224,Avatar,IC5.2.1.,4,1,0.0033,25,8
485471,EconsightMetaverse,,640,3D Image Modelling,IC5.3.1.,1,0,0.0016,1,0
485471,EconsightMetaverse,,640,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0016,1,0
CN0BHR,EconsightMetaverse,,43474,GPU Graphic Processor Technology,IC5.3.17.,6,0,0.0001,234,1
CN0BHR,EconsightMetaverse,,43474,Blockchain,7S.1.2.,26,1,0.0006,234,1
CN0BHR,EconsightMetaverse,,43474,3D Image Modelling,IC5.3.1.,102,0,0.0023,234,1
CN0BHR,EconsightMetaverse,,43474,Avatar,IC5.2.1.,24,0,0.0006,234,1
CN0BHR,EconsightMetaverse,,43474,Digital Twin,IC5.3.14.,22,0,0.0005,234,1
CN0BHR,EconsightMetaverse,,43474,"VR & AR, XR, Meta",IC5.2.10.,104,0,0.0024,234,1
CN2X86,EconsightMetaverse,,43474,Blockchain,7S.1.2.,26,1,0.0006,234,1
CN2X86,EconsightMetaverse,,43474,GPU Graphic Processor Technology,IC5.3.17.,6,0,0.0001,234,1
CN2X86,EconsightMetaverse,,43474,3D Image Modelling,IC5.3.1.,102,0,0.0023,234,1
CN2X86,EconsightMetaverse,,43474,Avatar,IC5.2.1.,24,0,0.0006,234,1
CN2X86,EconsightMetaverse,,43474,Digital Twin,IC5.3.14.,22,0,0.0005,234,1
CN2X86,EconsightMetaverse,,43474,"VR & AR, XR, Meta",IC5.2.10.,104,0,0.0024,234,1
CN09JR,EconsightMetaverse,,977,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.001,1,0
CN32FJ,EconsightMetaverse,,977,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.001,1,0
CN06PU,EconsightMetaverse,,2273,Blockchain,7S.1.2.,1,0,0.0004,33,0
CN06PU,EconsightMetaverse,,2273,3D Image Modelling,IC5.3.1.,12,0,0.0053,33,0
CN06PU,EconsightMetaverse,,2273,Avatar,IC5.2.1.,5,0,0.0022,33,0
CN06PU,EconsightMetaverse,,2273,GPU Graphic Processor Technology,IC5.3.17.,5,0,0.0022,33,0
CN06PU,EconsightMetaverse,,2273,"VR & AR, XR, Meta",IC5.2.10.,17,0,0.0075,33,0
CN06PU,EconsightMetaverse,,2273,Digital Twin,IC5.3.14.,2,0,0.0009,33,0
CN06PU,EconsightMetaverse,,2273,"NFT, Non-fungible Token",IC5.3.18.,1,0,0.0004,33,0
CN25SY,EconsightMetaverse,,2273,Digital Twin,IC5.3.14.,2,0,0.0009,33,0
CN25SY,EconsightMetaverse,,2273,"NFT, Non-fungible Token",IC5.3.18.,1,0,0.0004,33,0
CN25SY,EconsightMetaverse,,2273,Blockchain,7S.1.2.,1,0,0.0004,33,0
CN25SY,EconsightMetaverse,,2273,3D Image Modelling,IC5.3.1.,12,0,0.0053,33,0
CN25SY,EconsightMetaverse,,2273,GPU Graphic Processor Technology,IC5.3.17.,5,0,0.0022,33,0
CN25SY,EconsightMetaverse,,2273,Avatar,IC5.2.1.,5,0,0.0022,33,0
CN25SY,EconsightMetaverse,,2273,"VR & AR, XR, Meta",IC5.2.10.,17,0,0.0075,33,0
CN2NTH,EconsightMetaverse,,2273,GPU Graphic Processor Technology,IC5.3.17.,5,0,0.0022,33,0
CN2NTH,EconsightMetaverse,,2273,3D Image Modelling,IC5.3.1.,12,0,0.0053,33,0
CN2NTH,EconsightMetaverse,,2273,Avatar,IC5.2.1.,5,0,0.0022,33,0
CN2NTH,EconsightMetaverse,,2273,Blockchain,7S.1.2.,1,0,0.0004,33,0
CN2NTH,EconsightMetaverse,,2273,"VR & AR, XR, Meta",IC5.2.10.,17,0,0.0075,33,0
CN2NTH,EconsightMetaverse,,2273,Digital Twin,IC5.3.14.,2,0,0.0009,33,0
CN2NTH,EconsightMetaverse,,2273,"NFT, Non-fungible Token",IC5.3.18.,1,0,0.0004,33,0
CN075B,EconsightMetaverse,,2106,Digital Twin,IC5.3.14.,1,0,0.0005,2,0
CN075B,EconsightMetaverse,,2106,3D Image Modelling,IC5.3.1.,1,0,0.0005,2,0
CN24BG,EconsightMetaverse,,2106,Digital Twin,IC5.3.14.,1,0,0.0005,2,0
CN24BG,EconsightMetaverse,,2106,3D Image Modelling,IC5.3.1.,1,0,0.0005,2,0
CN2RB3,EconsightMetaverse,,2106,3D Image Modelling,IC5.3.1.,1,0,0.0005,2,0
CN2RB3,EconsightMetaverse,,2106,Digital Twin,IC5.3.14.,1,0,0.0005,2,0
CN0BX7,EconsightMetaverse,,156,Digital Twin,IC5.3.14.,2,0,0.0128,3,0
CN0BX7,EconsightMetaverse,,156,3D Image Modelling,IC5.3.1.,1,0,0.0064,3,0
CN0BX7,EconsightMetaverse,,156,Avatar,IC5.2.1.,1,0,0.0064,3,0
CN0BX7,EconsightMetaverse,,156,Blockchain,7S.1.2.,1,0,0.0064,3,0
CN383D,EconsightMetaverse,,156,Avatar,IC5.2.1.,1,0,0.0064,3,0
CN383D,EconsightMetaverse,,156,Blockchain,7S.1.2.,1,0,0.0064,3,0
CN383D,EconsightMetaverse,,156,Digital Twin,IC5.3.14.,2,0,0.0128,3,0
CN383D,EconsightMetaverse,,156,3D Image Modelling,IC5.3.1.,1,0,0.0064,3,0
CN06W1,EconsightMetaverse,,167,3D Image Modelling,IC5.3.1.,3,0,0.018,5,0
CN06W1,EconsightMetaverse,,167,Digital Twin,IC5.3.14.,2,0,0.012,5,0
CN06W1,EconsightMetaverse,,167,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.006,5,0
CN2T93,EconsightMetaverse,,167,3D Image Modelling,IC5.3.1.,3,0,0.018,5,0
CN2T93,EconsightMetaverse,,167,Digital Twin,IC5.3.14.,2,0,0.012,5,0
CN2T93,EconsightMetaverse,,167,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.006,5,0
CN039B,EconsightMetaverse,,1025,3D Image Modelling,IC5.3.1.,10,1,0.0098,12,1
CN039B,EconsightMetaverse,,1025,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.001,12,1
CN039B,EconsightMetaverse,,1025,Digital Twin,IC5.3.14.,3,0,0.0029,12,1
CN2KCX,EconsightMetaverse,,1025,Digital Twin,IC5.3.14.,3,0,0.0029,12,1
CN2KCX,EconsightMetaverse,,1025,3D Image Modelling,IC5.3.1.,10,1,0.0098,12,1
CN2KCX,EconsightMetaverse,,1025,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.001,12,1
CN097F,EconsightMetaverse,,2194,3D Image Modelling,IC5.3.1.,4,0,0.0018,4,0
CN06BG,EconsightMetaverse,,2005,Blockchain,7S.1.2.,1,0,0.0005,2,0
CN06BG,EconsightMetaverse,,2005,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0005,2,0
CN2KN8,EconsightMetaverse,,2005,Blockchain,7S.1.2.,1,0,0.0005,2,0
CN2KN8,EconsightMetaverse,,2005,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0005,2,0
CN1GWC,EconsightMetaverse,,1986,3D Image Modelling,IC5.3.1.,2,0,0.001,8,1
CN1GWC,EconsightMetaverse,,1986,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0005,8,1
CN1GWC,EconsightMetaverse,,1986,"VR & AR, XR, Meta",IC5.2.10.,7,1,0.0035,8,1
CN1GWC,EconsightMetaverse,,1986,Blockchain,7S.1.2.,1,0,0.0005,8,1
CN2RF7,EconsightMetaverse,,1986,Blockchain,7S.1.2.,1,0,0.0005,8,1
CN2RF7,EconsightMetaverse,,1986,3D Image Modelling,IC5.3.1.,2,0,0.001,8,1
CN2RF7,EconsightMetaverse,,1986,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0005,8,1
CN2RF7,EconsightMetaverse,,1986,"VR & AR, XR, Meta",IC5.2.10.,7,1,0.0035,8,1
CN07RX,EconsightMetaverse,,32,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0313,1,0
CN2RUM,EconsightMetaverse,,32,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0313,1,0
CN08LS,EconsightMetaverse,,5262,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0002,37,0
CN08LS,EconsightMetaverse,,5262,Blockchain,7S.1.2.,1,0,0.0002,37,0
CN08LS,EconsightMetaverse,,5262,3D Image Modelling,IC5.3.1.,26,0,0.0049,37,0
CN08LS,EconsightMetaverse,,5262,Avatar,IC5.2.1.,2,0,0.0004,37,0
CN08LS,EconsightMetaverse,,5262,Digital Twin,IC5.3.14.,4,0,0.0008,37,0
CN08LS,EconsightMetaverse,,5262,"VR & AR, XR, Meta",IC5.2.10.,10,0,0.0019,37,0
CN32KO,EconsightMetaverse,,5262,Blockchain,7S.1.2.,1,0,0.0002,37,0
CN32KO,EconsightMetaverse,,5262,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0002,37,0
CN32KO,EconsightMetaverse,,5262,3D Image Modelling,IC5.3.1.,26,0,0.0049,37,0
CN32KO,EconsightMetaverse,,5262,Avatar,IC5.2.1.,2,0,0.0004,37,0
CN32KO,EconsightMetaverse,,5262,Digital Twin,IC5.3.14.,4,0,0.0008,37,0
CN32KO,EconsightMetaverse,,5262,"VR & AR, XR, Meta",IC5.2.10.,10,0,0.0019,37,0
CN2NG4,EconsightMetaverse,,155,3D Image Modelling,IC5.3.1.,1,0,0.0065,1,0
CN54CK,EconsightMetaverse,,155,3D Image Modelling,IC5.3.1.,1,0,0.0065,1,0
CN067C,EconsightMetaverse,,2516,Avatar,IC5.2.1.,2,0,0.0008,52,9
CN067C,EconsightMetaverse,,2516,Blockchain,7S.1.2.,39,8,0.0155,52,9
CN067C,EconsightMetaverse,,2516,Digital Twin,IC5.3.14.,1,0,0.0004,52,9
CN067C,EconsightMetaverse,,2516,3D Image Modelling,IC5.3.1.,6,0,0.0024,52,9
CN067C,EconsightMetaverse,,2516,GPU Graphic Processor Technology,IC5.3.17.,2,0,0.0008,52,9
CN067C,EconsightMetaverse,,2516,"VR & AR, XR, Meta",IC5.2.10.,5,1,0.002,52,9
CN02RS,EconsightMetaverse,,139,Blockchain,7S.1.2.,2,0,0.0144,4,0
CN02RS,EconsightMetaverse,,139,Digital Twin,IC5.3.14.,1,0,0.0072,4,0
CN02RS,EconsightMetaverse,,139,3D Image Modelling,IC5.3.1.,1,0,0.0072,4,0
CN02RS,EconsightMetaverse,,139,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0144,4,0
CN07CI,EconsightMetaverse,,10197,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0001,41,18
CN07CI,EconsightMetaverse,,10197,3D Image Modelling,IC5.3.1.,14,11,0.0014,41,18
CN07CI,EconsightMetaverse,,10197,Avatar,IC5.2.1.,1,1,0.0001,41,18
CN07CI,EconsightMetaverse,,10197,"VR & AR, XR, Meta",IC5.2.10.,28,8,0.0027,41,18
CN2OF4,EconsightMetaverse,,10197,Avatar,IC5.2.1.,1,1,0.0001,41,18
CN2OF4,EconsightMetaverse,,10197,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0001,41,18
CN2OF4,EconsightMetaverse,,10197,3D Image Modelling,IC5.3.1.,14,11,0.0014,41,18
CN2OF4,EconsightMetaverse,,10197,"VR & AR, XR, Meta",IC5.2.10.,28,8,0.0027,41,18
CN00WV,EconsightMetaverse,,1162,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0009,1,0
CN2HQ8,EconsightMetaverse,,1162,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0009,1,0
CN1DFS,EconsightMetaverse,,328,3D Image Modelling,IC5.3.1.,3,0,0.0091,4,0
CN1DFS,EconsightMetaverse,,328,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0061,4,0
CN14MQ,EconsightMetaverse,,1523,GPU Graphic Processor Technology,IC5.3.17.,1,0,0.0007,1,0
CN14VZ,EconsightMetaverse,,2252,3D Image Modelling,IC5.3.1.,34,0,0.0151,121,4
CN14VZ,EconsightMetaverse,,2252,Avatar,IC5.2.1.,1,0,0.0004,121,4
CN14VZ,EconsightMetaverse,,2252,"VR & AR, XR, Meta",IC5.2.10.,18,1,0.008,121,4
CN14VZ,EconsightMetaverse,,2252,GPU Graphic Processor Technology,IC5.3.17.,6,0,0.0027,121,4
CN14VZ,EconsightMetaverse,,2252,Blockchain,7S.1.2.,72,3,0.032,121,4
CN14VZ,EconsightMetaverse,,2252,"NFT, Non-fungible Token",IC5.3.18.,3,0,0.0013,121,4
CN14VZ,EconsightMetaverse,,2252,Digital Twin,IC5.3.14.,1,0,0.0004,121,4
CN158D,EconsightMetaverse,,2016,3D Image Modelling,IC5.3.1.,2,0,0.001,3,0
CN158D,EconsightMetaverse,,2016,Avatar,IC5.2.1.,1,0,0.0005,3,0
CN543B,EconsightMetaverse,,481,Blockchain,7S.1.2.,12,0,0.0249,23,0
CN543B,EconsightMetaverse,,481,Avatar,IC5.2.1.,2,0,0.0042,23,0
CN543B,EconsightMetaverse,,481,3D Image Modelling,IC5.3.1.,9,0,0.0187,23,0
CN62Y5,EconsightMetaverse,,93,"VR & AR, XR, Meta",IC5.2.10.,15,0,0.1613,15,0
CN0RMC,EconsightMetaverse,,1056,3D Image Modelling,IC5.3.1.,16,0,0.0152,21,0
CN0RMC,EconsightMetaverse,,1056,Digital Twin,IC5.3.14.,4,0,0.0038,21,0
CN0RMC,EconsightMetaverse,,1056,"VR & AR, XR, Meta",IC5.2.10.,8,0,0.0076,21,0
CN0B5F,EconsightMetaverse,,9099,GPU Graphic Processor Technology,IC5.3.17.,10,0,0.0011,189,0
CN0B5F,EconsightMetaverse,,9099,3D Image Modelling,IC5.3.1.,110,0,0.0121,189,0
CN0B5F,EconsightMetaverse,,9099,Avatar,IC5.2.1.,22,0,0.0024,189,0
CN0B5F,EconsightMetaverse,,9099,Blockchain,7S.1.2.,11,0,0.0012,189,0
CN0B5F,EconsightMetaverse,,9099,Digital Twin,IC5.3.14.,21,0,0.0023,189,0
CN0B5F,EconsightMetaverse,,9099,"VR & AR, XR, Meta",IC5.2.10.,40,0,0.0044,189,0
CN24HM,EconsightMetaverse,,9099,GPU Graphic Processor Technology,IC5.3.17.,10,0,0.0011,189,0
CN24HM,EconsightMetaverse,,9099,Blockchain,7S.1.2.,11,0,0.0012,189,0
CN24HM,EconsightMetaverse,,9099,3D Image Modelling,IC5.3.1.,110,0,0.0121,189,0
CN24HM,EconsightMetaverse,,9099,Avatar,IC5.2.1.,22,0,0.0024,189,0
CN24HM,EconsightMetaverse,,9099,Digital Twin,IC5.3.14.,21,0,0.0023,189,0
CN24HM,EconsightMetaverse,,9099,"VR & AR, XR, Meta",IC5.2.10.,40,0,0.0044,189,0
CN2X42,EconsightMetaverse,,9099,Blockchain,7S.1.2.,11,0,0.0012,189,0
CN2X42,EconsightMetaverse,,9099,GPU Graphic Processor Technology,IC5.3.17.,10,0,0.0011,189,0
CN2X42,EconsightMetaverse,,9099,3D Image Modelling,IC5.3.1.,110,0,0.0121,189,0
CN2X42,EconsightMetaverse,,9099,Avatar,IC5.2.1.,22,0,0.0024,189,0
CN2X42,EconsightMetaverse,,9099,Digital Twin,IC5.3.14.,21,0,0.0023,189,0
CN2X42,EconsightMetaverse,,9099,"VR & AR, XR, Meta",IC5.2.10.,40,0,0.0044,189,0
CN0CGR,EconsightMetaverse,,40374,Blockchain,7S.1.2.,41,16,0.001,1027,126
CN0CGR,EconsightMetaverse,,40374,Digital Twin,IC5.3.14.,19,8,0.0005,1027,126
CN0CGR,EconsightMetaverse,,40374,3D Image Modelling,IC5.3.1.,184,37,0.0046,1027,126
CN0CGR,EconsightMetaverse,,40374,Avatar,IC5.2.1.,18,0,0.0004,1027,126
CN0CGR,EconsightMetaverse,,40374,GPU Graphic Processor Technology,IC5.3.17.,40,9,0.001,1027,126
CN0CGR,EconsightMetaverse,,40374,"VR & AR, XR, Meta",IC5.2.10.,867,90,0.0215,1027,126
CN2R91,EconsightMetaverse,,40374,Digital Twin,IC5.3.14.,19,8,0.0005,1027,126
CN2R91,EconsightMetaverse,,40374,3D Image Modelling,IC5.3.1.,184,37,0.0046,1027,126
CN2R91,EconsightMetaverse,,40374,Avatar,IC5.2.1.,18,0,0.0004,1027,126
CN2R91,EconsightMetaverse,,40374,GPU Graphic Processor Technology,IC5.3.17.,40,9,0.001,1027,126
CN2R91,EconsightMetaverse,,40374,"VR & AR, XR, Meta",IC5.2.10.,867,90,0.0215,1027,126
CN2R91,EconsightMetaverse,,40374,Blockchain,7S.1.2.,41,16,0.001,1027,126
CN0S2T,EconsightMetaverse,,1130,Avatar,IC5.2.1.,2,0,0.0018,15,0
CN0S2T,EconsightMetaverse,,1130,Blockchain,7S.1.2.,2,0,0.0018,15,0
CN0S2T,EconsightMetaverse,,1130,Digital Twin,IC5.3.14.,2,0,0.0018,15,0
CN0S2T,EconsightMetaverse,,1130,3D Image Modelling,IC5.3.1.,8,0,0.0071,15,0
CN0S2T,EconsightMetaverse,,1130,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0009,15,0
CN2LUG,EconsightMetaverse,,1130,Blockchain,7S.1.2.,2,0,0.0018,15,0
CN2LUG,EconsightMetaverse,,1130,3D Image Modelling,IC5.3.1.,8,0,0.0071,15,0
CN2LUG,EconsightMetaverse,,1130,Avatar,IC5.2.1.,2,0,0.0018,15,0
CN2LUG,EconsightMetaverse,,1130,Digital Twin,IC5.3.14.,2,0,0.0018,15,0
CN2LUG,EconsightMetaverse,,1130,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0009,15,0
CN0SA1,EconsightMetaverse,,2368,GPU Graphic Processor Technology,IC5.3.17.,3,0,0.0013,38,4
CN0SA1,EconsightMetaverse,,2368,3D Image Modelling,IC5.3.1.,18,3,0.0076,38,4
CN0SA1,EconsightMetaverse,,2368,Avatar,IC5.2.1.,2,0,0.0008,38,4
CN0SA1,EconsightMetaverse,,2368,Blockchain,7S.1.2.,6,1,0.0025,38,4
CN0SA1,EconsightMetaverse,,2368,"VR & AR, XR, Meta",IC5.2.10.,13,0,0.0055,38,4
CN0SE5,EconsightMetaverse,,11238,Blockchain,7S.1.2.,12,2,0.0011,97,3
CN0SE5,EconsightMetaverse,,11238,GPU Graphic Processor Technology,IC5.3.17.,7,0,0.0006,97,3
CN0SE5,EconsightMetaverse,,11238,Avatar,IC5.2.1.,8,0,0.0007,97,3
CN0SE5,EconsightMetaverse,,11238,"NFT, Non-fungible Token",IC5.3.18.,1,0,0.0001,97,3
CN0SE5,EconsightMetaverse,,11238,3D Image Modelling,IC5.3.1.,38,1,0.0034,97,3
CN0SE5,EconsightMetaverse,,11238,Digital Twin,IC5.3.14.,1,0,0.0001,97,3
CN0SE5,EconsightMetaverse,,11238,"VR & AR, XR, Meta",IC5.2.10.,39,0,0.0035,97,3
CN2DP3,EconsightMetaverse,,11238,Blockchain,7S.1.2.,12,2,0.0011,97,3
CN2DP3,EconsightMetaverse,,11238,"NFT, Non-fungible Token",IC5.3.18.,1,0,0.0001,97,3
CN2DP3,EconsightMetaverse,,11238,Digital Twin,IC5.3.14.,1,0,0.0001,97,3
CN2DP3,EconsightMetaverse,,11238,3D Image Modelling,IC5.3.1.,38,1,0.0034,97,3
CN2DP3,EconsightMetaverse,,11238,Avatar,IC5.2.1.,8,0,0.0007,97,3
CN2DP3,EconsightMetaverse,,11238,GPU Graphic Processor Technology,IC5.3.17.,7,0,0.0006,97,3
CN2DP3,EconsightMetaverse,,11238,"VR & AR, XR, Meta",IC5.2.10.,39,0,0.0035,97,3
CN0EO1,EconsightMetaverse,,622,3D Image Modelling,IC5.3.1.,1,0,0.0016,1,0
CN2TC6,EconsightMetaverse,,622,3D Image Modelling,IC5.3.1.,1,0,0.0016,1,0
CN0TQI,EconsightMetaverse,,2231,Avatar,IC5.2.1.,1,0,0.0004,4,0
CN0TQI,EconsightMetaverse,,2231,"VR & AR, XR, Meta",IC5.2.10.,2,0,0.0009,4,0
CN0TQI,EconsightMetaverse,,2231,Blockchain,7S.1.2.,1,0,0.0004,4,0
CN0TUM,EconsightMetaverse,,4499,3D Image Modelling,IC5.3.1.,59,0,0.0131,71,0
CN0TUM,EconsightMetaverse,,4499,Digital Twin,IC5.3.14.,6,0,0.0013,71,0
CN0TUM,EconsightMetaverse,,4499,"VR & AR, XR, Meta",IC5.2.10.,9,0,0.002,71,0
CN0TUM,EconsightMetaverse,,4499,GPU Graphic Processor Technology,IC5.3.17.,2,0,0.0004,71,0
CN0TUM,EconsightMetaverse,,4499,Blockchain,7S.1.2.,1,0,0.0002,71,0
CN2M3Q,EconsightMetaverse,,4499,3D Image Modelling,IC5.3.1.,59,0,0.0131,71,0
CN2M3Q,EconsightMetaverse,,4499,Blockchain,7S.1.2.,1,0,0.0002,71,0
CN2M3Q,EconsightMetaverse,,4499,Digital Twin,IC5.3.14.,6,0,0.0013,71,0
CN2M3Q,EconsightMetaverse,,4499,"VR & AR, XR, Meta",IC5.2.10.,9,0,0.002,71,0
CN2M3Q,EconsightMetaverse,,4499,GPU Graphic Processor Technology,IC5.3.17.,2,0,0.0004,71,0
CN0UIB,EconsightMetaverse,,1068,Blockchain,7S.1.2.,1,0,0.0009,4,0
CN0UIB,EconsightMetaverse,,1068,GPU Graphic Processor Technology,IC5.3.17.,2,0,0.0019,4,0
CN0UIB,EconsightMetaverse,,1068,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0009,4,0
CN0F8M,EconsightMetaverse,,229,3D Image Modelling,IC5.3.1.,2,0,0.0087,6,0
CN0F8M,EconsightMetaverse,,229,GPU Graphic Processor Technology,IC5.3.17.,6,0,0.0262,6,0
CN2S4X,EconsightMetaverse,,229,3D Image Modelling,IC5.3.1.,2,0,0.0087,6,0
CN2S4X,EconsightMetaverse,,229,GPU Graphic Processor Technology,IC5.3.17.,6,0,0.0262,6,0
CN1CT5,EconsightMetaverse,,62,3D Image Modelling,IC5.3.1.,2,0,0.0323,2,0
CN1CT5,EconsightMetaverse,,62,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0161,2,0
CN2OG5,EconsightMetaverse,,62,3D Image Modelling,IC5.3.1.,2,0,0.0323,2,0
CN2OG5,EconsightMetaverse,,62,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0161,2,0
CN1HAR,EconsightMetaverse,,169,3D Image Modelling,IC5.3.1.,1,0,0.0059,1,0
CN0Q9Y,EconsightMetaverse,,805,Blockchain,7S.1.2.,74,0,0.0919,89,0
CN0Q9Y,EconsightMetaverse,,805,GPU Graphic Processor Technology,IC5.3.17.,3,0,0.0037,89,0
CN0Q9Y,EconsightMetaverse,,805,3D Image Modelling,IC5.3.1.,2,0,0.0025,89,0
CN0Q9Y,EconsightMetaverse,,805,Avatar,IC5.2.1.,4,0,0.005,89,0
CN0Q9Y,EconsightMetaverse,,805,Digital Twin,IC5.3.14.,2,0,0.0025,89,0
CN0Q9Y,EconsightMetaverse,,805,"VR & AR, XR, Meta",IC5.2.10.,6,0,0.0075,89,0
CN2JM6,EconsightMetaverse,,805,Blockchain,7S.1.2.,74,0,0.0919,89,0
CN2JM6,EconsightMetaverse,,805,Digital Twin,IC5.3.14.,2,0,0.0025,89,0
CN2JM6,EconsightMetaverse,,805,3D Image Modelling,IC5.3.1.,2,0,0.0025,89,0
CN2JM6,EconsightMetaverse,,805,Avatar,IC5.2.1.,4,0,0.005,89,0
CN2JM6,EconsightMetaverse,,805,GPU Graphic Processor Technology,IC5.3.17.,3,0,0.0037,89,0
CN2JM6,EconsightMetaverse,,805,"VR & AR, XR, Meta",IC5.2.10.,6,0,0.0075,89,0
CN0GCR,EconsightMetaverse,,216,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0046,1,0
CN2GTA,EconsightMetaverse,,216,"VR & AR, XR, Meta",IC5.2.10.,1,0,0.0046,1,0
CN0GM1,EconsightMetaverse,,18611,3D Image Modelling,IC5.3.1.,49,1,0.0026,543,14
CN0GM1,EconsightMetaverse,,18611,Avatar,IC5.2.1.,14,0,0.0008,543,14
CN0GM1,EconsightMetaverse,,18611,Blockchain,7S.1.2.,59,3,0.0032,543,14
CN0GM1,EconsightMetaverse,,18611,Digital Twin,IC5.3.14.,10,0,0.0005,543,14
CN0GM1,EconsightMetaverse,,18611,"VR & AR, XR, Meta",IC5.2.10.,37,1,0.002,543,14
CN0GM1,EconsightMetaverse,,18611,GPU Graphic Processor Technology,IC5.3.17.,402,10,0.0216,543,14
