,technologydetails@EconsightEnergyPatent
68,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0286'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0095'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0095'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.019'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0286'}]"
69,
70,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.005'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.005'}]"
71,
72,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.001'}]"
73,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '6'specialisation': '0.0005'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '7'specialisation': '0.0006'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '2'specialisation': '0.0002'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0001'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0'}]"
74,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '2'specialisation': '0.0023'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0014'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0005'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0005'}]"
75,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0001'}',{'technologyName': 'Hydrogen Fueling Stations','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0002'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '901','worldClassPatentsInTechnology': '82'specialisation': '0.0782'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '1'specialisation': '0.0009'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '431','worldClassPatentsInTechnology': '38'specialisation': '0.0374'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '74','worldClassPatentsInTechnology': '5'specialisation': '0.0064'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '2'specialisation': '0.0011'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '1'specialisation': '0.0008'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '52','worldClassPatentsInTechnology': ''specialisation': '0.0045'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0003'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '77','worldClassPatentsInTechnology': '1'specialisation': '0.0067'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '20','worldClassPatentsInTechnology': '3'specialisation': '0.0017'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '2'specialisation': '0.0005'}]"
76,
77,
78,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '16','worldClassPatentsInTechnology': '2'specialisation': '0.0187'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '2'specialisation': '0.007'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0023'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': ''specialisation': '0.0082'}]"
79,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0001'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.0006'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0001'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '136','worldClassPatentsInTechnology': '10'specialisation': '0.0195'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '53','worldClassPatentsInTechnology': '5'specialisation': '0.0076'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '2'specialisation': '0.0006'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '1'specialisation': '0.0019'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '18','worldClassPatentsInTechnology': '2'specialisation': '0.0026'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '36','worldClassPatentsInTechnology': '1'specialisation': '0.0052'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0001'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '32','worldClassPatentsInTechnology': ''specialisation': '0.0046'}]"
80,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '22','worldClassPatentsInTechnology': '3'specialisation': '0.0218'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '1'specialisation': '0.0129'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.002'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '2'specialisation': '0.0069'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.001'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '3'specialisation': '0.0099'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.001'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.002'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.004'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '50','worldClassPatentsInTechnology': '8'specialisation': '0.0495'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': ''specialisation': '0.0069'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.001'}]"
81,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0081'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0081'}]"
82,"[ {'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '2'specialisation': '0.0015'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '3'specialisation': '0.0015'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '3'specialisation': '0.001'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}]"
83,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0029'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0029'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0029'}]"
84,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0625'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0625'}]"
85,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '21','worldClassPatentsInTechnology': ''specialisation': '0.0352'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': ''specialisation': '0.0168'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.005'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.005'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.005'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0084'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.005'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0034'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.005'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '27','worldClassPatentsInTechnology': '5'specialisation': '0.0453'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.005'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'LOHC/MCH Liquid Organic Hydrogen Carrier','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}]"
86,
87,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0036'}]"
88,
89,"[ {'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0052'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0052'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0052'}]"
90,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': ''specialisation': '0.012'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0028'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0018'}]"
91,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0036'}',{'technologyName': 'Hydrogen Fueling Stations','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0018'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0018'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0089'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0053'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0036'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '25','worldClassPatentsInTechnology': '2'specialisation': '0.0444'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0053'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '12','worldClassPatentsInTechnology': '1'specialisation': '0.0213'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0071'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '1'specialisation': '0.016'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0053'}]"
92,
93,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0002'}]"
94,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0132'}]"
95,
96,"[ {'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': ''specialisation': '0.0588'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '42','worldClassPatentsInTechnology': '7'specialisation': '0.3088'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0294'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '14','worldClassPatentsInTechnology': '1'specialisation': '0.1029'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': '1'specialisation': '0.0809'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0221'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0221'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '3'specialisation': '0.0515'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '1'specialisation': '0.0441'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0074'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0221'}]"
97,
98,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.001'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.001'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.001'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.001'}]"
99,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '20','worldClassPatentsInTechnology': '3'specialisation': '0.0056'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0008'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.0011'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '2'specialisation': '0.0006'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '58','worldClassPatentsInTechnology': '6'specialisation': '0.0162'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '65','worldClassPatentsInTechnology': '8'specialisation': '0.0181'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Hydrogen Fueling Stations','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '17','worldClassPatentsInTechnology': '4'specialisation': '0.0047'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '2'specialisation': '0.0017'}]"
100,
101,"[ {'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0003'}]"
102,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': '4'specialisation': '0.0357'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '3'specialisation': '0.0313'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0045'}]"
103,
104,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '28','worldClassPatentsInTechnology': '11'specialisation': '0.0012'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '27','worldClassPatentsInTechnology': '15'specialisation': '0.0012'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '17','worldClassPatentsInTechnology': '6'specialisation': '0.0008'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0001'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '2'specialisation': '0.0003'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '3'specialisation': '0.0002'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '3'specialisation': '0.0002'}]"
105,"[ {'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0053'}]"
106,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0032'}]"
107,"[ {'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0028'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0007'}]"
108,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0008'}]"
109,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.007'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0052'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0017'}]"
